bid;bname;blang;auth_id;auth_name;sid;sub;cat
37140;A Proposal Under Difficulties: A Farce;en;3435;Bangs, John Kendrick;3326;Drama;LCSH
37166;Mr. Punch at the Seaside;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
37204;The Ranchman;en;589;Seltzer| Charles Alden;589;Western Stories;
37208;The Wayfarers;en;590;Cutting| Mary Stewart;590;Literary;
37338;The Crime Doctor;en;591;Hornung| E. W.;591;Detective and Mystery;
37355;Pray You- Sir- Whose Daughter?;en;592;Gardener| Helen H.;592;Literary;
37412;The Empty Sack;en;593;King| Basil;593;Literary;
37430;The Sin of Monsieur Pettipon- and other humorous tales;en;594;Connell| Richard Edward;594;Humorous and Wit and Satire;
37449;Puppets at Large: Scenes and Subjects from Mr Punch's Show;en;7647;Partridge, Bernard;59;wit and humor;LCSH
37451;Rough-Hewn;en;595;Fisher| Dorothy Canfield;595;Literary;
37467;Daisy Thornton;en;596;Holmes| Mary Jane;596;Literary;
37476;Jessie Graham;en;597;Holmes| Mary Jane;597;Literary;
37479;The Debit Account;en;598;Onions| Oliver;598;Literary;
37490;The Gray Phantom's Return;en;599;Landon| Herman;599;Detective and Mystery;
37597;Voces Populi;en;63;Anstey, F.;59;wit and humor;LCSH
37660;Of All Things;en;9689;Williams, Gluyas;1083;wit and humor;LCSH
37664;The Sins of the Children: A Novel;en;600;Hamilton| Cosmo;600;Literary;
37691;The Travelling Companions: A Story in Scenes;en;63;Anstey, F.;59;wit and humor;LCSH
37710;Mavis of Green Hill;en;601;Baldwin| Faith;601;Love and Romance;
37781;Notwithstanding;en;602;Cholmondeley| Mary;602;Literary;
37827;The Open Question: A Tale of Two Temperaments;en;603;Robins| Elizabeth;603;Literary;
37838;The Story of Louie;en;604;Onions| Oliver;604;Literary;
37866;A Humble Enterprise;en;605;Cambridge| Ada;605;Literary;
37882;Mr. Punch in the Highlands;en;3202;Keene, Charles;59;wit and humor;LCSH
37913;The Gray Phantom;en;606;Landon| Herman;606;Detective and Mystery;
37919;In Accordance with the Evidence;en;607;Onions| Oliver;607;Literary;
37976;Dot and Tot of Merryland;en;1879;Denslow, W. W. (William Wallace);119;Fantasy ;LCSH
38006;The Heatherford Fortune - a sequel to the Magic Cameo;en;608;Sheldon| Mrs. Georgie;608;Literary;
38146;Mr. Punch on the Warpath: Humours of the Army, the Navy and the Reserve Forces;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
38169;The Heath Hover Mystery;en;60;Mitford, Bertram;85;Detective and mystery ;LCSH
38186;The Sailor;en;609;Snaith| J. C.;609;Literary;
38199;Kenneth McAlpine: A Tale of Mountain- Moorland and Sea;en;610;Stables| Gordon;610;Literary;
38212;The Making of William Edwards- The Story of the Bridge of Beauty;en;611;Banks| Mrs. G. Linnaeus;611;Literary;
38291;A Witch of the Hills- v. 1 [of 2];en;613;Warden| Florence;613;Literary;
38292;A Witch of the Hills- v. 2 [of 2];en;614;Warden| Florence;614;Literary;
38325;The Happy Warrior;en;615;Hutchinson| A. S. M.;615;Literary;
38368;A Knight on Wheels;en;616;Hay| Ian;616;Literary;
38421;A Little Boy Lost;en;4182;Lathrop, Dorothy Pulis;1138;Fantasy ;LCSH
38474;Loaded Dice;en;617;Clark| Ellery H.;617;Literary;
38477;In Jeopardy;en;7191;Sutphen, Van Tassel;85;Detective and mystery ;LCSH
38489;Gargoyles;en;618;Hecht| Ben;618;Literary;
38531;The Beckoning Hand, and Other Stories;en;282;Allen, Grant;85;Detective and mystery ;LCSH
38586;Mr. Punch's Cockney Humour;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
38623;The Story of Charles Strange: A Novel. Vol. 1 (of 3);en;619;Wood| Mrs. Henry;619;Literary;
38624;The Story of Charles Strange: A Novel. Vol. 2 (of 3);en;620;Wood| Mrs. Henry;620;Literary;
38625;The Story of Charles Strange: A Novel. Vol. 3 (of 3);en;621;Wood| Mrs. Henry;621;Literary;
38679;Miranda of the Balcony: A Story;en;622;Mason| A. E. W.;622;Literary;
38683;Mr. Punch's Golf Stories;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
38689;The Turnstile;en;624;Mason| A. E. W.;624;Literary;
38702;The Maker of Opportunities;en;625;Gibbs| George;625;Literary;
38715;A Singular Metamorphosis;en;626;Skiles| May Evelyn;626;Literary;
38743;The Corner House Girls;en;650;Owen, Robert Emmett;85;Detective and mystery ;LCSH
38764;A Roving Commission; Or, Through the Black Insurrection at Hayti;en;97;Rainey, W. (William);79;Adventure;LCSH
38798;The Monctons: A Novel. Volume 2 (of 2);en;627;Moodie| Susanna;627;Literary;
38888;Out of a Labyrinth;en;628;Lynch| Lawrence L.;628;Detective and Mystery;
39018;Mr. Marx's Secret;en;629;Oppenheim| E. Phillips;629;Detective and Mystery;
39066;The White Blackbird;en;630;Aitken| Robert;630;Literary;
39111;Miser Farebrother: A Novel (vol. 1 of 3);en;631;Farjeon| B. L.;631;Literary;
39114;Doesticks: What He Says;en;8230;Doesticks, Q. K. Philander;1083;wit and humor;LCSH
39159;Sky Island;en;1302;Neill, John R. (John Rea);1138;Fantasy ;LCSH
39160;Mr. Punch in the Hunting Field;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
39192;It May Be True- Vol. 2 (of 3);en;632;Wood| Mrs. Henry;632;Literary;
39193;It May Be True- Vol. 3 (of 3);en;633;Wood| Mrs. Henry;633;Literary;
39207;Tales for Fifteen;en;634;Cooper| James Fenimore;634;Literary;
39345;Mitchelhurst Place: A Novel. Vol. 1 (of 2);en;635;Veley| Margaret;635;Literary;
39349;Wyndham's Pal;en;636;Bindloss| Harold;636;Literary;
39359;Mabel: A Novel. Vol. 3 (of 3);en;637;Newby| Mrs. C. J.;637;Literary;
39375;Christmas-Tree Land;en;98;Molesworth, Mrs.;1138;Fantasy ;LCSH
39377;Mildred Arkell: A Novel. Vol. 2 (of 3);en;638;Wood| Mrs. Henry;638;Literary;
39417;A Gamble with Life;en;639;Hocking| Silas K.;639;Detective and Mystery;
39425;The Mysterious Wanderer- Vol. III - A Novel in Three Volumes;en;640;Reeve| Sophia;640;Literary;
39432;The House 'Round the Corner;en;2488;Tracy, Louis;85;Detective and mystery ;LCSH
39443;Mrs. Balfame: A Novel;en;729;Atherton, Gertrude Franklin Horn;85;Detective and mystery ;LCSH
