bid;bname;blang;auth_id;auth_name;sid;sub;cat
42574;Uncle Wiggily in Wonderland;en;3786;Garis, Howard Roger;1138;Fantasy ;LCSH
42581;The Deacon: An Original Comedy Drama in Five Acts;en;741;Dale| Horace C.;741;Literary;
42710;Bizarre;en;9654;Mackall, Lawton;1083;wit and humor;LCSH
42714;The Luminous Face;en;743;Wells| Carolyn;743;Detective and Mystery;
42750;Tempest-Driven: A Romance (Vol. 1 of 3);en;744;Dowling| Richard;744;Literary;
42751;Tempest-Driven: A Romance (Vol. 2 of 3);en;745;Dowling| Richard;745;Literary;
42752;Tempest-Driven: A Romance (Vol. 3 of 3);en;746;Dowling| Richard;746;Literary;
42763;Swords Reluctant;en;747;Pemberton| Max;747;Literary;
42772;It Pays to Smile;en;748;Putnam| Nina Wilcox;748;Literary;
42807;The Mystery of the Clasped Hands: A Novel;en;749;Boothby| Guy;749;Detective and Mystery;
42905;Great Porter Square: A Mystery. v. 1;en;750;Farjeon| B. L.;750;Detective and Mystery;
42906;Great Porter Square: A Mystery. v. 2;en;751;Farjeon| B. L.;751;Detective and Mystery;
42907;Great Porter Square: A Mystery. v. 3;en;752;Farjeon| B. L.;752;Detective and Mystery;
42926;The Last of Their Race;en;753;Swan| Annie S.;753;Literary;
43011;Roy Blakeley's Silver Fox Patrol;en;6772;Hastings, Howard L. (Howard Livingston);85;Detective and mystery ;LCSH
43037;Guy Kenmore's Wife- and The Rose and the Lily;en;754;Miller| Mrs. Alex. McVeigh;754;Literary;
43063;A Case in Camera;en;2753;Onions, Oliver;85;Detective and mystery ;LCSH
43067;In the Hands of the Cave-Dwellers;en;39;Henty, G. A. (George Alfred);79;Adventure;LCSH
43080;Devota;en;755;Evans| Augusta J.;755;Literary;
43082;Stromboli and the Guns;en;14650;Gribble, Francis Henry;199;Adventure;LCSH
43126;The Children of the Castle;en;98;Molesworth, Mrs.;1138;Fantasy ;LCSH
43162;Hugh Crichton's Romance;en;756;Coleridge| Christabel R.;756;Literary;
43190;Blade-O'-Grass. Golden Grain. and Bread and Cheese and Kisses.;en;757;Farjeon| B. L.;757;Christmas Stories;
43326;Joe Miller's Jests, with Copious Additions;en;13745;Bellew, Frank;59;wit and humor;LCSH
43355;Mr. Punch's Book of Sport;en;830;Sambourne, Linley;59;wit and humor;LCSH
43397;The Comic English Grammar: A New and Facetious Introduction to the English Tongue;en;708;Leigh, Percival;59;wit and humor;LCSH
43449;Mrs. Severn: A Novel- Vol. 1 (of 3);en;758;Carter| Mary Elizabeth;758;Literary;
43469;A Counterfeit Presentment; and, The Parlour Car;en;740;Howells, William Dean;3326;Drama;LCSH
43489;The Gypsy Queen's Vow;en;759;Fleming| May Agnes;759;Literary;
43492;The Five Knots;en;4503;White, Fred M. (Fred Merrick);85;Detective and mystery ;LCSH
43498;Flora Adair- Love Works Wonders. Vol. 1 (of 2);en;760;Donelan| A. M.;760;Literary;
43499;Flora Adair- Love Works Wonders. Vol. 2 (of 2);en;761;Donelan| A. M.;761;Literary;
43601;Freaks of Fanaticism, and Other Strange Events;en;3170;Baring-Gould, S. (Sabine);232;History;LCSH
43674;The Cardinal Moth;en;4503;White, Fred M. (Fred Merrick);85;Detective and mystery ;LCSH
43716;The Adventurers;en;762;Aimard| Gustave;762;Sea and Adventure;
43743;Munster Village;en;763;Hamilton| Lady Mary;763;Literary;
43773;Shifting Sands;en;1703;Bassett, Sara Ware;85;Detective and mystery ;LCSH
43793;Lena Graham;en;3755;Scannell, Edith;4908;Romance fiction;LCSH
43925;The Prairie Flower: A Tale of the Indian Border;en;764;Aimard| Gustave;764;Western Stories;
43936;The Wonderful Wizard of Oz;en;1879;Denslow, W. W. (William Wallace);1138;Fantasy ;LCSH
43971;One Man's View;en;7786;Merrick, Leonard;883;Romance fiction;LCSH
44018;First Love: A Novel. Vol. 1 of 3;en;765;Loudon| Mrs.;765;Literary;
44245;Historic Oddities and Strange Events;en;3170;Baring-Gould, S. (Sabine);232;History;LCSH
44264;The Eve of All-Hallows- Adelaide of Tyrconnel- v. 3 of 3;en;766;Hartstonge| Matthew Weld;766;Literary;
44324;The Flying Death;en;11857;Macauley, C. R. (Charles Raymond);85;Detective and mystery ;LCSH
44326;Wanted: A Husband. A Novel;en;767;Adams| Samuel Hopkins;767;Literary;
44375;The Bee Hunters: A Tale of Adventure;en;768;Aimard| Gustave;768;Sea and Adventure;
44421;The Rebel Chief: A Tale of Guerilla Life;en;769;Aimard| Gustave;769;Literary;
44454;The Smuggler Chief: A Novel;en;770;Aimard| Gustave;770;Sea and Adventure;
44581;The Stoneground Ghost Tales - Compiled from the recollections of the reverend Roland Batchel- the vicar of the parish.;en;771;Swain| E. G.;771;Ghost and Horror;
44633;Held to Answer: A Novel;en;772;MacFarlane| Peter Clark;772;Literary;
44643;The Funny Bone: Short Stories and Amusing Anecdotes for a Dull Hour;en;19850;Kieffer, Henry Martyn;1083;wit and humor;LCSH
44796;The Prodigal Village: A Christmas Tale;en;773;Bacheller| Irving;773;Christmas Stories;
44802;The Comic English Grammar: A New And Facetious Introduction To The English Tongue;en;708;Leigh, Percival;59;wit and humor;LCSH
44803;Little Golden's Daughter- The Dream of a Life Time;en;774;Miller| Mrs. Alex. McVeigh;774;Literary;
44819;Kathleen's Diamonds- She Loved a Handsome Actor;en;775;Miller| Mrs. Alex. McVeigh;775;Literary;
44828;Wild Margaret;en;776;Garvice| Charles;776;Literary;
44841;The Mark of Cain;en;777;Wells| Carolyn;777;Detective and Mystery;
44872;The Man Who Fell Through the Earth;en;778;Wells| Carolyn;778;Detective and Mystery;
44878;A Man's World;en;779;Edwards| Albert;779;Literary;
44904;Mrs. Caudle's Curtain Lectures;en;1360;Jerrold, Douglas William;59;wit and humor;LCSH
44984;The Mystery Girl;en;780;Wells| Carolyn;780;Detective and Mystery;
45038;Perlycross: A Tale of the Western Hills;en;1130;Blackmore, R. D. (Richard Doddridge);4908;Romance fiction;LCSH
45042;A Mock Idyl;en;781;Ross| Percy;781;Literary;
45047;The Red River Half-Breed: A Tale of the Wild North-West;en;782;Aimard| Gustave;782;Western Stories;
45104;Farewell;en;783;Stacpoole| William Henry;783;Literary;
45347;The Master Key;en;2118;Cory, Fanny Y.;1138;Fantasy ;LCSH
45365;Josh Billings, Hiz Sayings;en;22807;Billings, Josh;1083;wit and humor;LCSH
45401;The Guide of the Desert;en;784;Aimard| Gustave;784;Western Stories;
45402;The Insurgent Chief;en;785;Aimard| Gustave;785;Literary;
45403;The Flying Horseman;en;786;Aimard| Gustave;786;Literary;
45494;Airplane Boys in the Black Woods;en;14612;Craine, E. J. (Edith Janice);85;Detective and mystery ;LCSH
45497;Nancy Brandon;en;2042;Garis, Lilian;85;Detective and mystery ;LCSH
45517;The Putnam Hall Cadets; or, Good Times in School and Out;en;827;Stratemeyer, Edward;85;Detective and mystery ;LCSH
45549;The Air Mystery of Isle La Motte;en;14612;Craine, E. J. (Edith Janice);85;Detective and mystery ;LCSH
45618;Deadwood Dick Jr. Branded- Red Rover at Powder Pocket.;en;787;Wheeler| Edward L.;787;Western Stories;
45622;The Curved Blades;en;788;Wells| Carolyn;788;Detective and Mystery;
45636;Stolen Idols;en;789;Oppenheim| E. Phillips;789;Detective and Mystery;
45700;Mr. Punch on the Continong;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
45748;Mr. Punch with Rod and Gun: The Humours of Fishing and Shooting;en;3202;Keene, Charles;59;wit and humor;LCSH
45760;Plays and Lyrics;en;2006;Rice, Cale Young;351;Drama;LCSH
45816;The House on the Moor- v. 1-3;en;790;Oliphant| Mrs.;790;Literary;
45817;The House on the Moor- v. 2-3;en;791;Oliphant| Mrs.;791;Literary;
45818;The House on the Moor- v. 3-3;en;792;Oliphant| Mrs.;792;Literary;
45872;Pretty Geraldine- the New York Salesgirl- Wedded to Her Choice;en;793;Miller| Mrs. Alex. McVeigh;793;Literary;
45880;A Secret Inheritance  (Volume 1 of 3);en;1224;Farjeon, B. L. (Benjamin Leopold);85;Detective and mystery ;LCSH
45881;A Secret Inheritance  (Volume 2 of 3);en;1224;Farjeon, B. L. (Benjamin Leopold);85;Detective and mystery ;LCSH
45882;A Secret Inheritance (Volume 3 of 3);en;1224;Farjeon, B. L. (Benjamin Leopold);85;Detective and mystery ;LCSH
45912;The Vanishing of Betty Varian;en;794;Wells| Carolyn;794;Detective and Mystery;
45964;Day and Night Stories;en;1139;Blackwood, Algernon;239;Horror;LCSH
45975;The Little Lame Prince and His Travelling Cloak;en;14;Craik, Dinah Maria Mulock;119;Fantasy ;LCSH
46008;The Room with the Tassels;en;795;Wells| Carolyn;795;Detective and Mystery;
46064;The Deep Lake Mystery;en;796;Wells| Carolyn;796;Detective and Mystery;
46120;Comic Arithmetic;en;708;Leigh, Percival;59;wit and humor;LCSH
46156;The Maid of Sker;en;1130;Blackmore, R. D. (Richard Doddridge);4908;Romance fiction;LCSH
46217;The Romantic Lady;en;797;Arlen| Michael;797;Literary;
46236;The Red Widow; or, The Death-Dealers of London;en;754;Le Queux, William;85;Detective and mystery ;LCSH
46298;Mary Broome: A Comedy, in Four Acts;en;8968;Monkhouse, Allan;8938;Romance fiction;LCSH
46374;Mr. Punch's Book of Arms;en;12097;Reed, Edward Tennyson;59;wit and humor;LCSH
46402;Harry Blount- the Detective- The Martin Mystery Solved;en;800;Flanagan| T. J.;800;Detective and Mystery;
46457;White Wolf's Law: A Western Story;en;801;Dunning| Hal;801;Western Stories;
46505;Alone;en;802;Harland| Marion;802;Literary;
46566;The Crime Club;en;804;Holt-White| W.;804;Detective and Mystery;
46623;At War with Society- Tales of the Outcasts;en;805;M'Levy| James;805;Detective and Mystery;
47008;With the Allies to Pekin: A Tale of the Relief of the Legations;en;3636;Paget, Walter;79;Adventure;LCSH
47166;John Dough and the Cherub;en;1302;Neill, John R. (John Rea);1138;Fantasy ;LCSH
47194;Humorous Hits and How to Hold an Audience;en;574;Kleiser, Grenville;1083;wit and humor;LCSH
47211;The Idol of the Blind: A Novel;en;807;Gallon| Tom;807;Literary;
47271;The Second Dandy Chater;en;6987;Gallon, Tom;85;Detective and mystery ;LCSH
47282;A Country Sweetheart;en;808;Russell| Dora;808;Literary;
47331;Michael and His Lost Angel: A Play in Five Acts;en;7297;Jones, Henry Arthur;8938;Romance fiction;LCSH
47338;Kate Vernon: A Tale. Vol. 1 (of 3);en;810;Alexander| Mrs.;810;Literary;
47400;George Cruikshank's Omnibus;en;5142;Blanchard, Laman;59;wit and humor;LCSH
47455;The Fiction Factory - Being the experience of a writer who- for twenty-two years- has kept a story-mill grinding successfully;en;812;Cook| William Wallace;812;Literary;
47564;Twilight Land;en;2128;Pyle, Howard;1138;Fantasy ;LCSH
47633;Copper Coleson's Ghost;en;1149;Cue, Harold James;1656;Horror;LCSH
47697;Odette's Marriage - A Novel- from the French of Albert Delpit- Translated from the Revue des Deux Mondes|| by Emily Prescott;en;813;Delpit| Albert;813;Literary;
47718;Mr. Punch at Home: The Comic Side of Domestic Life;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
47744;Sekhet;en;814;Miller| Irene;814;Literary;
47771;Mirk Abbey- Volume 1 (of 3);en;815;Payn| James;815;Literary;
47772;Mirk Abbey- Volume 2 (of 3);en;816;Payn| James;816;Literary;
47773;Mirk Abbey- Volume 3 (of 3);en;817;Payn| James;817;Literary;
47826;A Tender Attachment: A Farce;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
47874;My Wife and I; Or, Harry Henderson's History;en;849;Stowe, Harriet Beecher;4908;Romance fiction;LCSH
47907;Mr. Punch's Animal Land;en;12097;Reed, Edward Tennyson;59;wit and humor;LCSH
47997;A Life for a Life- Volume 1 (of 3);en;821;Craik| Dinah Maria Mulock;821;Literary;
48096;Mr. Punch in Society: Being the Humours of Social Life;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
48245;Mr. Punch's Irish Humour in Picture and Story;en;3202;Keene, Charles;59;wit and humor;LCSH
48297;A Soldier's Daughter- and Other Stories;en;822;Henty| G. A.;822;Sea and Adventure;
48339;Mr. Punch in Wig and Gown: The Lighter Side of Bench and Bar;en;9651;Marks, Henry Stacy;59;wit and humor;LCSH
48482;A Life for a Life- Volume 2 (of 3);en;823;Craik| Dinah Maria Mulock;823;Literary;
48483;A Life for a Life- Volume 3 (of 3);en;824;Craik| Dinah Maria Mulock;824;Literary;
48538;Comrades: A Drama in Three Acts;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
48707;Gentlemen of the Jury: A Farce;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
48778;The Sea Fairies;en;1302;Neill, John R. (John Rea);1138;Fantasy ;LCSH
48882;The Mystery of the Ravenspurs;en;4503;White, Fred M. (Fred Merrick);85;Detective and mystery ;LCSH
48989;Tinman;en;825;Gallon| Tom;825;Literary;
49198;Past Redemption: A Drama in Four Acts;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
49229;Yule-Tide Yarns;en;39;Henty, G. A. (George Alfred);79;Adventure;LCSH
49281;Seeing the Elephant;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
49309;Mr. Punch's Scottish Humour;en;3202;Keene, Charles;59;wit and humor;LCSH
49407;Nevada; or, The Lost Mine, A Drama in Three Acts;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
49478;A Mysterious Disappearance: A Farce;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
49480;Poison: A Farce;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
49537;The Spider and the Fly- An Undesired Love;en;830;Garvice| Charles;830;Literary;
49680;Chetwynd Calverley - New Edition- 1877;en;832;Ainsworth| William Harrison;832;Literary;
49718;The Desultory Man - Collection of Ancient and Modern British Novels and Romances. Vol. CXLVII.;en;833;James| G. P. R.;833;Literary;
50042;The Forgery- Best Intentions.;en;834;James| G. P. R.;834;Literary;
50188;The Invisible Foe;en;10114;Hackett, Walter;85;Detective and mystery ;LCSH
50194;The Magic of Oz;en;1302;Neill, John R. (John Rea);1138;Fantasy ;LCSH
50209;The Mystery of the Sycamore;en;836;Wells| Carolyn;836;Detective and Mystery;
50318;After the Pardon;en;2828;Serao, Matilde;883;Romance fiction;LCSH
50440;Leslie's Loyalty;en;837;Garvice| Charles;837;Literary;
50688;De L'Orme. - The Works of G. P. R. James- Esq.|| Vol. XVI.;en;838;James| G. P. R.;838;Literary;
51251;Morley Ernstein- the Tenants of the Heart;en;840;James| G. P. R.;840;Literary;
51263;The Scarecrow of Oz;en;731;Baum, L. Frank (Lyman Frank);1138;Fantasy ;LCSH
51455;The Fate: A Tale of Stirring Times;en;841;James| G. P. R.;841;Literary;
51628;Delaware- The Ruined Family. Vol. 1;en;844;James| G. P. R.;844;Literary;
51629;Delaware- The Ruined Family. Vol. 2;en;845;James| G. P. R.;845;Literary;
51630;Delaware- The Ruined Family. Vol. 3;en;846;James| G. P. R.;846;Literary;
51715;A Whim- and Its Consequences - Collection of British Authors Vol. CXIV;en;848;James| G. P. R.;848;Literary;
51936;Daireen. Volume 1 of 2;en;851;Moore| Frank Frankfort;851;Literary;
51937;Daireen. Volume 2 of 2;en;852;Moore| Frank Frankfort;852;Literary;
51938;Daireen. Complete;en;853;Moore| Frank Frankfort;853;Literary;
51972;Priscilla and Charybdis: A Story of Alternatives;en;854;Moore| Frank Frankfort;854;Literary;
51988;Well- After All;en;855;Moore| Frank Frankfort;855;Literary;
52176;Tik-Tok of Oz;en;1302;Neill, John R. (John Rea);1138;Fantasy ;LCSH
52512;The Duchess of Dublin: A Farce;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
52665;The Boston Dip: A Comedy, in One Act;en;464;Baker, George M. (George Melville);3326;Drama;LCSH
53356;Kate Vernon: A Tale. Vol. 2 (of 3);en;864;Alexander| Mrs.;864;Literary;
53604;The Touch of Abner;en;865;Cody| H. A.;865;Literary;
53668;Kate Vernon: A Tale. Vol. 3 (of 3);en;866;Alexander| Mrs.;866;Literary;
53774;The Mercer Boys in the Ghost Patrol;en;5849;Wyckoff, Capwell;1656;Horror;LCSH
13720;Mardi: and A Voyage Thither I;en;965;Melville| Herman;965;Sea and Adventure;
13721;Mardi: and A Voyage Thither ||;en;966;Melville| Herman;966;Sea and Adventure;
29042;A Tangled Tale;en;981;Carroll| Lewis;981;Literary;
4763;The Game of Logic;en;987;Carroll| Lewis;987;Literary;
37266;Reigen: Zehn Dialoge;de;2344;Schnitzler, Arthur;8938;Drama;LCSH
18148;Casanovas Heimfahrt;de;2344;Schnitzler, Arthur;79;Adventure;LCSH
43913;Aus dem Matrosenleben;de;429;Gerstäcker, Friedrich;79;Adventure;LCSH
35651;Inselwelt. Erster Band. Indische Skizzen;de;429;Gerstäcker, Friedrich;7359;Adventure;LCSH
46073;Inselwelt. Zweiter Band. Australische Skizzen.Gesammelte Erzählungen.;de;429;Gerstäcker, Friedrich;7359;Adventure;LCSH
10914;Die Brüder Wright;de;9881;Hildebrandt, A. (Alfred);7275;History;LCSH
45956;Tagebuch eines bösen Buben;de;1276;Victor, Metta Victoria Fuller;1083;Humor and Comedy;LCSH
24887;Ulrich Schmidel Der erste Geschichtschreiber der La Plata-Länder (1535-1555);de;22214;Lehmann-Nitsche, Robert;10026;History;LCSH
47205;Handbuch der Kunstgeschichte;de;22024;Springer, A. (Anton);8280;History;LCSH
39553;Einiges aus der Geschichte der Astronomie im Alterthum;de;24996;Blass, Friedrich;3256;History;LCSH
13953;Celsissimus: Salzburger Roman;de;3815;Achleitner, Arthur;18175;History;LCSH
46912;Der Schwierige: Lustspiel in drei Akten;de;625;Hofmannsthal, Hugo von;21299;Drama;LCSH
40222;Klagen eines Knaben;de;24537;Ehrenstein, Carl;26951;Literature;LCSH
16278;Zuchthausgeschichten von einem ehemaligen Züchtling Erster Theil;de;6418;Stolz, Alban;7913;Literature;LCSH
46184;Frau Jenny Treibel: Roman aus der Berliner Gesellschaft;de;559;Fontane, Theodor;882;Fiction;LCSH
47311;Wanderungen durch die Mark Brandenburg, Dritter Teil Havelland;de;559;Fontane, Theodor;25898;History;LCSH
38281;Der König Candaules: Drama in drei Akten;de;1769;Blei, Franz;13956;Drama;LCSH
34581;Der Pfaffenspiegel;de;11506;Corvin, Otto von;11115;Drama;LCSH
50277;Kleinstadtkinder: Buben und Mädelgeschichten;de;21565;Upjohn, Anna Milo;1329;Fiction;LCSH
8392;Hin und Her: Ein Buch für die Kinder;de;13634;Fick, H. H. (Henry H.);1698;Literature;LCSH
19530;Strix: Die Geschichte eines Uhus;de;20832;Mann, Mathilde;1698;Literature;LCSH
21021;Die Biene Maja und ihre Abenteuer;de;2651;Bonsels, Waldemar;1698;Literature;LCSH
16880;Über die Dichtkunst beim Aristoteles;de;7960;Gudemann, Alfred;1195;Literature;LCSH
24899;Platons Gastmahl;de;14393;Kassner, Rudolf;1195;Literature;LCSH
9810;Man kann nie wissen: Komödie in vier Akten;de;11156;Trebitsch, Siegfried;135;Humor and Comedy;LCSH
23065;Die Gründung des Deutschen Zollvereins;de;1373;Treitschke, Heinrich von;18777;History;LCSH
17169;Der Fall Deruga;de;1575;Huch, Ricarda Octavia;22912;Mystery;LCSH
6890;Mitteilungen aus den Memoiren des Satan — Band 1;de;857;Hauff, Wilhelm;1342;Literature;LCSH
6891;Mitteilungen aus den Memoiren des Satan — Band 2;de;857;Hauff, Wilhelm;1342;Literature;LCSH
47070;Unter den Wilden: Entdeckungen und Abenteuer;de;19829;Heilborn, Adolf;22434;Literature;LCSH
22159;Gespenster: Ein Familiendrama in drei Aufzügen;de;5066;Borch, M. von (Marie);3570;Drama;LCSH
15952;Die Prinzessin Girnara: Weltspiel und Legende;de;2201;Wassermann, Jakob;35;Drama;LCSH
19940;Die ungleichen Schalen: Fünf einaktige Dramen;de;2201;Wassermann, Jakob;35;Drama;LCSH
22235;Fräulein Julie: Naturalistisches Trauerspiel;de;474;Strindberg, August;35;Drama;LCSH
23679;Baumeister Solneß: Schauspiel in drei Aufzügen;de;266;Ibsen, Henrik;35;Drama;LCSH
46231;Der brennende Dornbusch; Mörder: Hoffnung der Frauen;de;2483;Kokoschka, Oskar;35;Drama;LCSH
45916;Inferno; Legenden;de;1291;Schering, Emil;26895;History;LCSH
47081;Zur Geschichte der englischen Volkswirthschaftslehre aus dem III.;de;9618;Roscher, Wilhelm;16077;History;LCSH
24817;Ueber die Geometrie der alten Aegypter.Vortrag;de;17242;Weyr, Emil;2888;History;LCSH
47251;Schöpfungen der Ingenieurtechnik der Neuzeit;de;3378;Geitel, Max;4408;History;LCSH
18731;Geschichte der Englischen Sprache und Literatur von den ältesten Zeiten bis zur Einführung der Buchdruckerkunst;de;23912;Behnsch, Ottomar;4126;Literature;LCSH
43438;Erotika Biblion;de;19914;Hansmann, Paul;18873;Literature;LCSH
25999;Der Hansische Stahlhof in London;de;13522;Pauli, Reinhold;15688;History;LCSH
24043;Die Weise von Liebe und Tod des Cornets Christoph Rilke;de;1759;Rilke, Rainer Maria;18156;History;LCSH
36997;Rosmersholm: Schauspiel in vier Aufzügen;de;266;Ibsen, Henrik;6507;Drama;LCSH
48040;Das Bücher-Dekameron;de;715;Edschmid, Kasimir;2450;History;LCSH
22413;Alaeddin und die Wunderlampe aus Tausend und eine Nacht;de;15059;Staeger, Ferdinand;97;Fantasy;LCSH
29796;Norwegische Volksmährchen I.;de;4404;Moe, Jørgen Engebretsen;97;Fantasy;LCSH
30084;Norwegische Volksmährchen vol. 2;de;4404;Moe, Jørgen Engebretsen;97;Fantasy;LCSH
19163;Märchen für Kinder;de;790;Andersen, H. C. (Hans Christian);7759;Fantasy;LCSH
42900;Gänsemütterchens Märchen;de;522;Doré, Gustave;17381;Fantasy;LCSH
6638;Märchen-Almanach auf das Jahr 1826;de;857;Hauff, Wilhelm;4799;Fantasy;LCSH
6639;Märchen-Almanach auf das Jahr 1827;de;857;Hauff, Wilhelm;4799;Fantasy;LCSH
6640;Märchen-Almanach auf das Jahr 1828;de;857;Hauff, Wilhelm;4799;Fantasy;LCSH
8923;Die Regentrude;de;1647;Storm, Theodor;4799;Fantasy;LCSH
13451;Der Mann im Mond;de;857;Hauff, Wilhelm;4799;Fantasy;LCSH
23787;Märchen-Sammlung;de;7631;Fraungruber, Hans;4799;Fantasy;LCSH
47189;Ein Geschlecht: Tragödie;de;14889;Unruh, Fritz von;6774;Drama;LCSH
27220;Himmelsvolk: Ein Buch von Blumen, Tieren und Gott;de;2651;Bonsels, Waldemar;119;Fantasy;LCSH
32014;Fledermäuse: Sieben Geschichten;de;1540;Meyrink, Gustav;7753;Fantasy;LCSH
51476;Der Golem;de;1540;Meyrink, Gustav;2237;Fantasy;LCSH
31114;Wunderbare Reise des kleinen Nils Holgersson mit den Wildgänsen;de;12812;Klaiber, Pauline;1138;Fantasy;LCSH
47440;Der Weltuntergang: Eine Phantasie aus dem Jahre 1900;de;10977;Chiavacci, Vinzenz;1138;Fantasy;LCSH
20589;Edgar Allan Poe Die Dichtung, Band XLII;de;14237;Ewers, Hanns Heinz;16456;Fantasy;LCSH
26444;Schläfst du Mutter?; Ruth. Novellen;de;2201;Wassermann, Jakob;2;Fiction;LCSH
29957;Ein Stück Lebensgeschichte, und andere Erzählungen;de;1125;Lagerlöf, Selma;2;Fiction;LCSH
30281;Die Räuberbande;de;917;Frank, Leonhard;2;Fiction;LCSH
30655;Ein Hungerkünstler;de;2313;Kafka, Franz;2;Fiction;LCSH
31233;Rittmeister Brand; Bertram Vogelweid Zwei Erzählungen;de;17744;Ebner-Eschenbach, Marie von;2;Fiction;LCSH
31660;Die Ermordung einer Butterblume und andere Erzählungen;de;17243;Döblin, Alfred;2;Fiction;LCSH
31733;Der Widerspenstigen Zähmung;de;1333;Ettlinger, Karl;2;Fiction;LCSH
31803;Der Schäfer: Eine Geschichte aus der Stille;de;11766;Thon, Alfred;2;Fiction;LCSH
32358;Timur: Novellen;de;715;Edschmid, Kasimir;2;Fiction;LCSH
32385;Die Fürstin;de;715;Edschmid, Kasimir;2;Fiction;LCSH
32763;Die Nacht der Erfüllung: Erzählungen;de;1734;Tagore, Rabindranath;2;Fiction;LCSH
34424;Ludwig Fugeler: Roman;de;9179;Schieber, Anna;2;Fiction;LCSH
35603;Meister Autor; oder, die Geschichten vom versunkenen Garten;de;5604;Raabe, Wilhelm;2;Fiction;LCSH
36227;Der Fremde: Ein Gleichniss;de;14890;Kahlenberg, Hans von;2;Fiction;LCSH
36488;Jüdische Geschichten;de;16907;Peretz, Isaac Loeb;2;Fiction;LCSH
36766;Der kleine Herr Friedemann: Novellen;de;5595;Mann, Thomas;2;Fiction;LCSH
38505;Der gläserne Garten: Zwei Novellen;de;2243;Goll, Claire;2;Fiction;LCSH
38686;Die Liebe der Erika Ewald: Novellen;de;3534;Zweig, Stefan;2;Fiction;LCSH
39126;Der Rebell: Novelle;de;19947;George, Manfred;2;Fiction;LCSH
39277;Die Achatnen Kugeln: Roman;de;715;Edschmid, Kasimir;2;Fiction;LCSH
39390;Der Hase: Eine Erzählung;de;12821;Vischer, Melchior;2;Fiction;LCSH
41305;Geschichten;de;8618;Kuzmin, M. A. (Mikhail Alekseevich);2;Fiction;LCSH
41724;Meta: Eine Erzählung;de;6833;Sternheim, Carl;2;Fiction;LCSH
41904;Busekow: Eine Novelle;de;6833;Sternheim, Carl;2;Fiction;LCSH
41931;Sklaven der Liebe, und andere Novellen;de;997;Hamsun, Knut;2;Fiction;LCSH
42617;Die Liebesbriefe der Marquise;de;1423;Braun, Lily;2;Fiction;LCSH
45352;Fräulein Doktor: Roman;de;1830;Lehne, Fr.;2;Fiction;LCSH
45672;Aus der Jugendzeit; Historie von der schönen Lau;de;3240;Stassen, Franz;2;Fiction;LCSH
45965;Clementine;de;11553;Lewald, Fanny;2;Fiction;LCSH
46551;Das zerstörte Idyll: Novellen;de;10766;Flesch-Brunningen, Hans;2;Fiction;LCSH
46576;Thekla, oder die Flucht nach der Türkei;de;3163;Schrader, August;2;Fiction;LCSH
46845;Zwei Erzählungen;de;4267;Baum, Oskar;2;Fiction;LCSH
47202;Blut: Eine Erzählung;de;2651;Bonsels, Waldemar;2;Fiction;LCSH
47472;Fünf Erzählungen Mit 28 Holzschnitten von Frans Masereel;de;5204;Zweig, Friderike Maria Burger Winternitz;2;Fiction;LCSH
47818;Diesseits: Erzählungen;de;730;Hesse, Hermann;2;Fiction;LCSH
47939;Nicht der Mörder, der Ermordete ist schuldig: Eine Novelle;de;9951;Werfel, Franz;2;Fiction;LCSH
52486;Adelina; oder, Der Abschied vom neunzehnten Lebensjahre. Aufzeichnungen;de;2483;Kokoschka, Oskar;2;Fiction;LCSH
36389;Drei Meister: Balzac, Dickens, Dostojewski;de;3534;Zweig, Stefan;11362;History;LCSH
26972;Die Theorie des Romans;de;25160;Lukács, György;1153;History;LCSH
31129;Der Löwe von Flandern: ein historische Roman aus Alt-Belgien;de;3537;Conscience, Hendrik;11520;History;LCSH
15891;Französisch-slavische Kämpfe in der Bocca di Cattaro 1806-1814.;de;1632;Velimirović, Nikolaj;322;History;LCSH
35547;Das Buch von Monelle;de;10967;Schwob, Marcel;12538;Literature;LCSH
39391;Der Hasenroman;de;7726;Jammes, Francis;12538;Literature;LCSH
45009;Gabriel Schillings Flucht: Drama;de;7977;Hauptmann, Gerhart;21438;Drama;LCSH
52218;Vor Sonnenaufgang: Soziales Drama;de;7977;Hauptmann, Gerhart;21438;Drama;LCSH
52952;Die Ratten: Berliner Tragikomödie;de;7977;Hauptmann, Gerhart;21438;Drama;LCSH
2887;Herodes und Mariamne: Eine Tragödie in fünf Akten;de;5044;Hebbel, Friedrich;4591;Drama;LCSH
44386;Das Liebeskonzil: Eine Himmels-Tragödie in fünf Aufzügen;de;3504;Panizza, Oskar;4591;Drama;LCSH
